                    .;04/2024-03/2025;04/2025-03/2026;Minimum 04/2018-03/2021;Maximum 04/2018-03/2021
02.09.;95,03;72,54;73,06;96,16
03.09.;95,06;72,74;73,27;96,34
04.09.;95,06;73,08;73,46;96,51
05.09.;95,15;73,33;73,64;96,61
06.09.;95,28;73,69;73,84;96,62
07.09.;95,40;74,08;74,06;96,66
08.09.;95,52;74,22;74,39;96,72
09.09.;95,57;74,23;74,74;96,64
10.09.;95,71;74,41;74,93;96,67
11.09.;95,75;74,59;75,17;96,70
12.09.;95,66;74,84;75,43;96,77
13.09.;95,61;75,13;75,65;96,83
14.09.;95,57;75,40;75,92;96,96
15.09.;95,61;75,62;76,39;97,12
16.09.;95,55;75,76;76,87;97,18
17.09.;95,54;75,86;77,13;97,22
18.09.;95,62;75,99;77,53;97,22
19.09.;95,66;76,12;77,89;97,15
20.09.;95,64;76,38;78,23;97,15
21.09.;95,72;76,63;78,58;97,24
22.09.;95,76;76,65;78,92;97,36
23.09.;95,75;76,45;79,21;97,40
24.09.;95,79;76,44;79,30;97,41
25.09.;95,86;76,46;79,39;97,38
26.09.;95,91;76,50;79,48;97,41
27.09.;95,98;76,62;79,65;97,50
28.09.;96,04;76,73;79,86;97,69
29.09.;96,07;76,73;80,02;97,92
30.09.;96,00;76,68;80,26;98,02
01.10.;96,09;76,31;80,34;98,37
02.10.;96,01;76,21;80,49;98,44
03.10.;96,07;76,20;80,71;98,49
04.10.;96,09;76,34;80,87;98,48
05.10.;96,16;76,40;81,18;98,56
